fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	rmse_validate	rmse_test	ganancia	iteracion_bayesiana
20251207 221724	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0437178860972788	0.57965635451046	1065	38	0.004255342299026	8.36092669707495	0.850583619837254	465	44.3469017185139	62.1469740088356	62.1469740088356	88
20251207 221759	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.173116351150892	0.847210727148005	985	47	0.00119893831590302	7.29758590818932	0.717190763705439	266	56.9953351966931	72.2465510011641	72.2465510011641	89
20251207 221823	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.187479475898715	0.583417839373386	1478	37	0.000236361160826289	4.02423516263279	0.920093363796417	115	47.2034896245485	67.2393296256533	67.2393296256533	90
20251207 221837	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0627684141720381	0.300874320700282	812	69	0.0280767967624001	9.10148785936787	0.98861789211473	446	50.1778046656483	75.3156301716255	75.3156301716255	91
20251207 221900	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14996953147536	0.899201108096367	968	37	1.49944309009575	1.75022934529286	0.6472432302786	123	48.0603674180099	64.3499324522273	64.3499324522273	92
20251207 222004	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0351721525351158	0.708722810955585	1497	37	2.82745751037264	8.64171409107458	0.600586639104394	819	42.9055427161954	59.6796202278778	59.6796202278778	93
20251207 222159	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0157996823238177	0.899981790502566	766	24	0.00732577097487993	8.96133818172713	0.99879857397802	845	42.6257332118177	61.7907722522091	61.7907722522091	94
20251207 222215	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199944561491308	0.87871679587453	418	72	3.97748685051854	3.09823967622086	0.601468426372724	124	49.3963010881147	69.1669468445361	69.1669468445361	95
20251207 222230	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.177387462682623	0.565639572204939	367	62	4.97096982957693	0.0995798305008871	0.601493945355386	321	53.0176305218693	74.3619334361061	74.3619334361061	96
20251207 222340	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0233979620200895	0.899818182822739	591	36	4.64357140929126	8.45053085884284	0.808059103833958	1088	42.8253183506184	57.1079800783665	57.1079800783665	97
20251207 222523	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0121178384433186	0.627411058805198	772	19	3.69869619719986	9.98327992345654	0.81973829849425	1512	41.9096005013402	65.8740216166151	65.8740216166151	98
20251207 222553	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0608004285783411	0.31851733830121	1499	40	0.233784010176571	8.86026651874582	0.627826325365479	443	46.5818585932532	72.6752844320945	72.6752844320945	99
20251208 012909	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0453773546788429	0.845268251703139	599	37	0.146893087216631	5.54678712671253	0.938984047645229	631	45.3489603036982	60.0933585211984	60.0933585211984	100
20251208 013035	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0300160058989192	0.899909713475441	599	36	3.30025543114477	7.95993908742509	0.734116358588257	828	42.8780480009234	56.9202754120329	56.9202754120329	101
20251208 013108	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.146512831077894	0.850336205412878	1466	22	0.0741283915387752	8.34563711740974	0.947918264488452	104	41.8621573115453	60.3309195589662	60.3309195589662	102
20251208 013400	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0111483003823487	0.89523011009337	609	37	4.28261512353786	8.80851837349008	0.684119317997566	3067	43.007284713014	57.7560278036912	57.7560278036912	103
20251208 013439	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.092593405307981	0.656876071956291	993	22	0.129803814083191	7.56995013062347	0.996686048667338	130	42.3450192065086	62.173502007562	62.173502007562	104
20251208 013525	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.146033035330416	0.677067079915103	1500	75	0.281413107944245	7.05566289802971	0.997972288240992	360	48.1632061369899	69.4043462153924	69.4043462153924	105
20251208 013602	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.197812617927861	0.899592477423106	880	22	4.19276258589163	9.38364482608287	0.905575253322873	106	45.8896869814933	64.5748818695966	64.5748818695966	106
20251208 013813	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0100626404820385	0.833030995713983	520	64	4.9128205374535	0.179717407900035	0.837632259902896	3005	53.1447710315394	67.5222472858435	67.5222472858435	107
20251208 013907	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0323917653510808	0.897990145721196	594	35	2.06434627386805	8.29572494117595	0.602123831468695	755	41.0953830697936	59.5834599888592	59.5834599888592	108
20251208 014002	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0331834779801824	0.898732091043284	1496	40	0.292739264954156	3.13254826532885	0.600609506326436	625	52.2398741620923	64.34569424286	64.34569424286	109
20251208 014124	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0240766054455985	0.664951198260158	1161	76	1.02960188005931	9.97874723758829	0.615189404727324	1393	47.5108441219745	68.3522751202153	68.3522751202153	110
20251208 014232	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0132811801142887	0.880391193332626	17	38	4.3405682720614	6.01843186526421	0.801269394019026	929	44.941644528919	60.7719955246159	60.7719955246159	111
20251208 014240	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199394369733651	0.303106003674789	748	24	4.58451408748745	8.99266488837724	0.831894744998379	89	41.5624909080739	75.6782893201029	75.6782893201029	112
20251208 044533	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0105884714692711	0.318819456376278	794	42	0.0511421317045074	0.927057867456923	0.930474076713268	3492	51.3551464255982	75.5433797889194	75.5433797889194	113
20251208 044609	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.172373765566065	0.899791935217567	601	68	4.97788241131041	0.903184949304857	0.989290427971212	646	52.6543598373322	65.8297383751645	65.8297383751645	114
20251208 044759	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.013392265542086	0.899263043814604	461	35	3.74997609796662	7.79888031215697	0.827887427518051	1968	41.6269591717884	59.0166071110766	59.0166071110766	115
20251208 044821	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0625791971125279	0.899715699315581	557	40	4.96070709705442	2.25604139345687	0.786363062676728	141	51.271750645251	68.082653573423	68.082653573423	116
20251208 044936	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0189208165645464	0.754387836954888	1500	72	4.7518297281437	9.64086507031299	0.906310536108137	1662	46.3738923602818	65.9992108513503	65.9992108513503	117
20251208 045031	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0358935140848431	0.616030314887298	1475	22	0.722564048210742	9.94884157925011	0.601394968931175	406	44.8532628135133	62.0436730760866	62.0436730760866	118
